x,y,value,altitude
6.35149904025348,46.5443513558252,151,682
6.40643280911516,46.7108200764493,255,813
6.57473530369682,46.7378554249958,79,436
6.59938573431491,46.9048374190129,191,833
6.60716328108225,46.8358286962748,194,579
6.65747186432482,46.5300239485268,334,525
6.67426723109815,46.7758642047034,107,433
6.74920040593301,47.0012708701128,296,1169
6.75550512822946,46.4992363944866,394,548
6.75576351848751,46.5090770843667,394,784
6.95772134418034,46.6937404618194,324,785
6.97390949384725,47.4021639386893,105,598
7.0715164138261,47.4208453202871,135,434
7.08497854627056,46.6530856692753,585,753
7.08377703157062,46.1019804873676,114,466
7.1895749227297,46.9768992334853,334,435
7.27855160808963,46.4349002295332,131,1097
7.34125000420576,46.0014319995822,78,2054
7.35645627089207,46.9952443325154,398,698
7.56619164335225,46.4822187266454,141,1285
7.57966669530962,46.8068906963576,192,539
7.6159188485142,47.4463408486545,151,334
7.61696532905931,47.5447388979139,107,248
7.72524376669567,46.5798999630629,145,1001
7.78012585750575,47.3275623058754,334,799
7.79897542683059,47.238934150166,327,468
7.82051225483916,47.5439158905768,213,300
7.83920679000916,47.4356152046485,331,413
7.84688098067328,47.1010228991849,400,654
7.85642850070828,47.0616424405821,327,824
7.88766788290667,47.4158010817695,380,596
7.91286093306666,46.5891565832198,94,1217
7.94376440792959,46.8941471731719,185,946
7.94417783234247,46.9925452224314,239,1223
7.98497765408876,47.4549603018408,330,573
7.99093354953684,46.313484523459,30,725
8.08192567890957,47.366287898425,254,388
8.16949413736313,46.8053597257198,53,690
8.18933850918146,46.3625552297405,78,1576
8.24788974165587,46.9628373124247,71,1770
8.34736999100559,46.5299797008205,62,1379
8.34671109584756,46.7267846488807,71,1220
8.37522446082351,46.9826779839275,59,763
8.44287103038132,47.1599519944289,60,436
8.48098359344387,47.3175003774639,124,565
8.49873500417199,47.5832344023908,153,407
8.55856526842375,47.3571109241394,75,589
8.57011531295864,47.120978614724,137,750
8.56950809585222,47.1997041337646,86,609
8.5835257673515,46.6585281371496,129,1091
8.59449443380577,46.5208027265349,345,1312
8.60734934914382,46.1567591477611,441,806
8.60384816114723,47.7508801120023,184,756
8.65239969063505,47.7215704313523,121,491
8.67365228935976,46.5112894696814,346,996
8.70082202499385,46.7574306102608,270,1079
8.71097676213526,47.6628006278509,100,423
8.74491632253029,47.2201554236143,45,406
8.76035514044885,47.5744910556268,107,463
8.7828350928993,46.4724665321779,359,943
8.80425564529175,46.3348207674346,278,1094
8.80510833314332,47.0827131983199,72,904
8.86677316822724,47.584951213395,131,466
8.89697898939343,46.0795203516521,90,828
8.88792241084873,47.4571638376143,141,546
8.88778029620681,47.4670045274944,131,532
8.93050512537557,46.5225726347867,452,936
8.98769980899521,46.0112461408385,16,770
8.98236405016645,47.6251104316286,136,624
9.01525713001637,47.389172812121,130,765
9.0118722176359,47.5958096005199,118,454
9.02220782795795,47.556526486871,109,442
9.05039820511134,47.0351734626762,145,657
9.08641780708368,46.6516608931326,254,1606
9.08070738238075,47.5373052832563,140,433
9.09548730514128,47.2520403207706,152,647
9.11336791099842,47.3407658214339,60,843
9.17775876330479,46.5146611449011,283,1916
9.22379098777661,47.1744563925525,184,1012
9.22509585857977,47.5878007656805,127,474
9.26041780685537,46.8205189898966,220,1085
9.27134771477094,47.2339607079784,178,1328
9.30288424576609,46.6733157205935,218,1869
9.28872445962488,47.3325534471455,137,956
9.39228727505181,47.481269988004,144,459
9.41578786902157,46.9008639749875,230,1275
9.41251923225722,47.038615934226,282,465
9.43474079444962,46.5172452109488,129,1529
9.52519030428045,46.4592364679957,65,2040
9.54950482756307,46.6662183885037,190,1076
9.62808130503645,46.6770502270048,170,1202
9.60849532347616,47.3854471552509,156,398
9.64609110602261,46.3820153709691,131,1667
9.72806541538936,46.6291742087933,10,1433
9.75363313142353,46.432670145136,99,1989
9.7812421304963,46.8267756155667,92,2418
9.82115050585232,46.8076694559884,67,1720
10.001778215743,46.4167232717871,18,2332
10.0434436448538,46.3583428481012,20,1058
10.1160383878533,46.2709624777092,55,731
